,x,y,variable,value
506,1434,957,Amg,
507,1334,961,Amg,
508,1222,956,Amg,
509,1456,353,Amg,
510,1334,355,Amg,
511,1222,356,Amg,
512,1141,360,Amg,
513,1454,260,Amg,
514,1329,249,Amg,
515,1218,251,Amg,
516,1669,154,Amg,
517,1773,148,Amg,
518,1145,253,Amg,
519,1144,155,Amg,
520,1142,58,Amg,
521,1220,162,Amg,
522,1577,352,Amg,
523,1676,304,Amg,
524,1774,307,Amg,
525,1771,248,Amg,
526,1670,243,Amg,
527,1575,235,Amg,
528,1331,165,Amg,
529,1214,55,Amg,
530,1334,56,Amg,
531,1450,160,Amg,
532,1564,147,Amg,
533,1448,55,Amg,
534,1560,59,Amg,
535,1658,57,Amg,
536,1762,56,Amg,
537,48,19,DAISA,
538,41,82,DAISA,
539,41,141,DAISA,
540,40,205,DAISA,179.0
541,40,303,DAISA,178.0
542,37,407,DAISA,183.0
543,33,508,DAISA,
544,38,629,DAISA,
545,38,728,DAISA,
546,40,866,DAISA,171.0
547,33,959,DAISA,169.0
548,137,958,DAISA,
549,135,857,DAISA,
550,135,729,DAISA,178.0
551,139,639,DAISA,170.0
552,144,531,DAISA,172.0
553,143,594,DAISA,
554,32,582,DAISA,
555,141,415,DAISA,
556,146,326,DAISA,
557,148,178,DAISA,168.0
558,139,239,DAISA,
559,146,89,DAISA,
560,147,24,DAISA,172.0
561,282,16,DAISA,
562,277,85,DAISA,
563,273,159,DAISA,172.0
564,274,244,DAISA,168.0
565,274,351,DAISA,171.0
566,272,458,DAISA,170.0
567,269,588,DAISA,172.0
568,263,710,DAISA,
569,255,828,DAISA,
570,242,909,DAISA,
571,231,965,DAISA,
572,357,957,DAISA,170.0
573,360,903,DAISA,169.0
574,360,819,DAISA,177.0
575,369,704,DAISA,170.0
576,367,605,DAISA,173.0
577,370,502,DAISA,166.0
578,389,394,DAISA,
579,394,249,DAISA,
580,391,153,DAISA,170.0
581,389,71,DAISA,
582,391,12,DAISA,173.0
583,514,13,DAISA,
584,502,67,DAISA,171.0
585,507,150,DAISA,
586,504,251,DAISA,
587,504,377,DAISA,173.0
