,x_m,y_m,variable,value
182,0.162046908315565,0.9492610837438423,ASUS,
183,0.162046908315565,1.4030541871921183,ASUS,
184,0.14989339019189765,1.8846305418719211,ASUS,
185,0.13368869936034114,2.3523152709359607,ASUS,
186,0.15394456289978675,2.9126108374384234,ASUS,
187,0.15394456289978675,3.3710344827586205,ASUS,
188,0.162046908315565,4.0100492610837435,ASUS,
189,0.13368869936034114,4.440689655172414,ASUS,
190,0.5550106609808102,4.436059113300493,ASUS,
191,0.5469083155650319,3.968374384236453,ASUS,
192,0.5469083155650319,3.3756650246305417,ASUS,
193,0.5631130063965885,2.9589162561576354,ASUS,
194,0.5833688699360341,2.4588177339901476,ASUS,
195,0.579317697228145,2.750541871921182,ASUS,
196,0.129637526652452,2.694975369458128,ASUS,
197,0.5712153518123667,1.9216748768472907,ASUS,
198,0.5914712153518124,1.5095566502463054,ASUS,
199,0.5995735607675906,0.8242364532019705,ASUS,
200,0.5631130063965885,1.1066995073891626,ASUS,
201,0.5914712153518124,0.41211822660098524,ASUS,
202,0.5955223880597015,0.11113300492610838,ASUS,
203,1.1424307036247334,0.07408866995073891,ASUS,
204,1.1221748400852878,0.3935960591133005,ASUS,
205,1.1059701492537313,0.736256157635468,ASUS,
206,1.1100213219616204,1.1298522167487686,ASUS,
207,1.1100213219616204,1.625320197044335,ASUS,
208,1.1019189765458421,2.1207881773399015,ASUS,
209,1.0897654584221748,2.722758620689655,ASUS,
210,1.06545842217484,3.2876847290640394,ASUS,
211,1.033049040511727,3.834088669950739,ASUS,
212,0.9803837953091683,4.209162561576354,ASUS,
213,0.935820895522388,4.468472906403941,ASUS,
214,1.4462686567164178,4.4314285714285715,ASUS,
215,1.4584221748400852,4.181379310344828,ASUS,
216,1.4584221748400852,3.792413793103448,ASUS,
217,1.4948827292110873,3.2599014778325124,ASUS,
218,1.486780383795309,2.8014778325123153,ASUS,
219,1.4989339019189765,2.3245320197044337,ASUS,
220,1.5759061833688697,1.8244334975369458,ASUS,
221,1.5961620469083153,1.1530049261083744,ASUS,
222,1.584008528784648,0.7084729064039409,ASUS,
223,1.5759061833688697,0.32876847290640393,ASUS,
224,1.584008528784648,0.05556650246305419,ASUS,
225,2.0823027718550104,0.06019704433497537,ASUS,
226,2.033688699360341,0.3102463054187192,ASUS,
227,2.0539445628997868,0.6945812807881774,ASUS,
228,2.041791044776119,1.1622660098522168,ASUS,
229,2.041791044776119,1.7457142857142858,ASUS,
230,2.0215351812366738,2.296748768472906,ASUS,
231,1.9850746268656714,2.7829556650246303,ASUS,
232,1.9688699360341149,3.2599014778325124,ASUS,
233,1.9324093816631127,3.8016748768472906,ASUS,
234,1.9283582089552236,4.135073891625615,ASUS,
235,1.9243070362473347,4.454581280788178,ASUS,
236,2.386140724946695,4.4499507389162565,ASUS,
237,2.386140724946695,4.07487684729064,ASUS,
238,2.386140724946695,3.6488669950738917,ASUS,
239,2.382089552238806,3.181182266009852,ASUS,
240,2.382089552238806,2.6579310344827585,ASUS,
241,2.4104477611940296,2.268965517241379,ASUS,
242,2.382089552238806,1.7457142857142858,ASUS,
243,2.3982942430703624,1.1807881773399014,ASUS,
244,2.4752665245202556,0.6806896551724138,ASUS,
245,2.4388059701492537,0.27320197044334976,ASUS,
246,2.426652452025586,0.032413793103448274,ASUS,
247,2.900639658848614,0.06019704433497537,ASUS,
248,2.8884861407249462,0.3658128078817734,ASUS,
249,2.868230277185501,0.7547783251231527,ASUS,
250,2.876332622601279,1.1900492610837439,ASUS,
251,2.843923240938166,1.7364532019704433,ASUS,
252,2.8277185501066096,2.2226600985221676,ASUS,
253,2.811513859275053,2.6579310344827585,ASUS,
254,2.815565031982942,3.125615763546798,ASUS,
255,2.803411513859275,3.607192118226601,ASUS,
256,2.775053304904051,4.098029556650246,ASUS,
257,2.7385927505330487,4.4499507389162565,ASUS,
258,3.285501066098081,4.436059113300493,ASUS,
259,3.273347547974413,4.060985221674877,ASUS,
260,3.2814498933901914,3.6720197044334975,ASUS,
261,3.2895522388059697,3.1024630541871923,ASUS,
262,3.273347547974413,2.597733990147783,ASUS,
263,3.909381663113006,2.58384236453202,ASUS,
264,4.411727078891258,2.62551724137931,ASUS,
265,3.2773987206823025,2.15320197044335,ASUS,
266,3.273347547974413,1.6160591133004927,ASUS,
267,3.3219616204690827,1.1807881773399014,ASUS,
268,3.350319829424307,0.6667980295566502,ASUS,
269,3.3462686567164175,0.3426600985221675,ASUS,
270,3.3381663113006392,0.06019704433497537,ASUS,
271,3.9053304904051167,0.08334975369458128,ASUS,
272,3.933688699360341,0.3935960591133005,ASUS,
273,3.913432835820895,0.6992118226600985,ASUS,
274,3.9255863539445626,1.1622660098522168,ASUS,
275,3.9296375266524515,1.6669950738916257,ASUS,
276,3.941791044776119,2.125418719211823,ASUS,
277,4.431982942430703,0.09724137931034482,ASUS,
278,4.431982942430703,0.42600985221674875,ASUS,167.0
279,4.436034115138592,0.7316256157635468,ASUS,
280,4.415778251599146,1.1854187192118226,ASUS,
281,4.407675906183369,1.653103448275862,ASUS,
282,4.391471215351812,2.0744827586206895,ASUS,
283,4.934328358208955,2.0883743842364533,ASUS,
284,5.404264392324094,2.079113300492611,ASUS,
285,5.910660980810234,2.055960591133005,ASUS,
286,6.34413646055437,2.0605911330049262,ASUS,
287,6.793816631130063,2.055960591133005,ASUS,
288,7.174626865671641,2.032807881773399,ASUS,
289,7.150319829424307,2.4310344827586206,ASUS,
290,6.7735607675906175,2.3986206896551723,ASUS,
291,6.352238805970148,2.486600985221675,ASUS,
292,5.866098081023454,2.486600985221675,ASUS,
293,5.367803837953091,2.46807881773399,ASUS,
294,4.9100213219616196,2.4495566502463055,ASUS,
295,4.650746268656716,2.8292610837438423,ASUS,
296,4.914072494669509,2.82,ASUS,
297,5.384008528784648,2.852413793103448,ASUS,
298,5.849893390191897,2.8338916256157636,ASUS,
299,6.360341151385927,2.843152709359606,ASUS,
300,4.638592750533048,3.1302463054187193,ASUS,
301,4.897867803837952,3.139507389162562,ASUS,
302,5.363752665245202,3.2135960591133004,ASUS,
303,5.833688699360341,3.17192118226601,ASUS,
304,6.376545842217483,3.195073891625616,ASUS,
305,6.757356076759061,2.82,ASUS,
306,7.1260127931769714,2.810738916256158,ASUS,
307,6.712793176972281,3.227487684729064,ASUS,169.0
308,7.109808102345415,3.1904433497536946,ASUS,
309,4.654797441364605,3.634975369458128,ASUS,
310,4.918123667377398,3.6025615763546797,ASUS,
311,5.388059701492537,3.625714285714286,ASUS,
312,5.845842217484008,3.5608866995073893,ASUS,
313,6.4089552238805965,3.6905418719211824,ASUS,
314,6.76545842217484,3.7229556650246307,ASUS,
315,7.154371002132195,3.7183251231527095,ASUS,171.0
316,4.6426439232409376,4.037832512315271,ASUS,
317,4.646695095948827,4.4129064039408865,ASUS,
318,4.901918976545842,4.042463054187192,ASUS,
319,5.388059701492537,4.0470935960591135,ASUS,
320,5.813432835820895,4.051724137931035,ASUS,
321,6.396801705756929,4.11192118226601,ASUS,
322,6.769509594882728,4.125812807881774,ASUS,
323,7.1584221748400845,4.135073891625615,ASUS,
324,7.170575692963752,4.454581280788178,ASUS,168.0
325,6.793816631130063,4.4499507389162565,ASUS,
326,6.396801705756929,4.473103448275862,ASUS,170.0
327,5.8093816631130055,4.4314285714285715,ASUS,
328,5.404264392324094,4.4499507389162565,ASUS,165.0
329,4.950533049040511,4.42679802955665,ASUS,
330,5.898507462686567,1.6345812807881774,ASUS,165.0
331,5.404264392324094,1.6438423645320197,ASUS,
332,4.950533049040511,1.648472906403941,ASUS,168.0
333,4.622388059701492,1.6669950738916257,ASUS,
334,5.890405117270788,1.2039408866995074,ASUS,
335,5.384008528784648,1.1530049261083744,ASUS,
336,4.934328358208955,1.1622660098522168,ASUS,
337,6.76140724946695,0.713103448275862,ASUS,
338,7.18272921108742,0.685320197044335,ASUS,176.0
339,4.638592750533048,1.171527093596059,ASUS,
340,4.63454157782516,0.7177339901477833,ASUS,
341,4.626439232409381,0.26857142857142857,ASUS,
342,4.942430703624733,0.7501477832512315,ASUS,
343,6.388699360341151,1.6299507389162562,ASUS,
344,6.789765458422174,1.4076847290640393,ASUS,
345,7.186780383795308,1.421576354679803,ASUS,
346,7.174626865671641,1.148374384236453,ASUS,
347,6.76545842217484,1.1252216748768473,ASUS,
348,6.380597014925373,1.0881773399014778,ASUS,
349,5.392110874200426,0.7640394088669951,ASUS,
350,4.918123667377398,0.254679802955665,ASUS,166.0
351,5.404264392324094,0.2593103448275862,ASUS,
352,5.874200426439232,0.7408866995073892,ASUS,
353,6.336034115138592,0.6806896551724138,ASUS,167.0
354,5.866098081023454,0.254679802955665,ASUS,
355,6.319829424307035,0.27320197044334976,ASUS,
356,6.71684434968017,0.2639408866995074,ASUS,
357,7.138166311300639,0.2593103448275862,ASUS,
358,0.19445628997867803,0.08798029556650246,Amg,
359,0.16609808102345414,0.37970443349753696,Amg,
360,0.16609808102345414,0.6529064039408867,Amg,
361,0.162046908315565,0.9492610837438423,Amg,
362,0.162046908315565,1.4030541871921183,Amg,
363,0.14989339019189765,1.8846305418719211,Amg,
364,0.13368869936034114,2.3523152709359607,Amg,
365,0.15394456289978675,2.9126108374384234,Amg,
366,0.15394456289978675,3.3710344827586205,Amg,
367,0.162046908315565,4.0100492610837435,Amg,
368,0.13368869936034114,4.440689655172414,Amg,
369,0.5550106609808102,4.436059113300493,Amg,
370,0.5469083155650319,3.968374384236453,Amg,
371,0.5469083155650319,3.3756650246305417,Amg,
372,0.5631130063965885,2.9589162561576354,Amg,
373,0.5833688699360341,2.4588177339901476,Amg,
374,0.579317697228145,2.750541871921182,Amg,
375,0.129637526652452,2.694975369458128,Amg,
376,0.5712153518123667,1.9216748768472907,Amg,
377,0.5914712153518124,1.5095566502463054,Amg,
378,0.5995735607675906,0.8242364532019705,Amg,
379,0.5631130063965885,1.1066995073891626,Amg,
380,0.5914712153518124,0.41211822660098524,Amg,
381,0.5955223880597015,0.11113300492610838,Amg,
382,1.1424307036247334,0.07408866995073891,Amg,
383,1.1221748400852878,0.3935960591133005,Amg,
384,1.1059701492537313,0.736256157635468,Amg,
385,1.1100213219616204,1.1298522167487686,Amg,
386,1.1100213219616204,1.625320197044335,Amg,
387,1.1019189765458421,2.1207881773399015,Amg,
388,1.0897654584221748,2.722758620689655,Amg,
389,1.06545842217484,3.2876847290640394,Amg,
390,1.033049040511727,3.834088669950739,Amg,
391,0.9803837953091683,4.209162561576354,Amg,167.0
392,0.935820895522388,4.468472906403941,Amg,
393,1.4462686567164178,4.4314285714285715,Amg,166.0
394,1.4584221748400852,4.181379310344828,Amg,
395,1.4584221748400852,3.792413793103448,Amg,
396,1.4948827292110873,3.2599014778325124,Amg,
397,1.486780383795309,2.8014778325123153,Amg,
398,1.4989339019189765,2.3245320197044337,Amg,
399,1.5759061833688697,1.8244334975369458,Amg,
400,1.5961620469083153,1.1530049261083744,Amg,
401,1.584008528784648,0.7084729064039409,Amg,170.0
402,1.5759061833688697,0.32876847290640393,Amg,
403,1.584008528784648,0.05556650246305419,Amg,
404,2.0823027718550104,0.06019704433497537,Amg,
405,2.033688699360341,0.3102463054187192,Amg,
406,2.0539445628997868,0.6945812807881774,Amg,
407,2.041791044776119,1.1622660098522168,Amg,
408,2.041791044776119,1.7457142857142858,Amg,
409,2.0215351812366738,2.296748768472906,Amg,
410,1.9850746268656714,2.7829556650246303,Amg,
411,1.9688699360341149,3.2599014778325124,Amg,
412,1.9324093816631127,3.8016748768472906,Amg,
413,1.9283582089552236,4.135073891625615,Amg,
414,1.9243070362473347,4.454581280788178,Amg,
415,2.386140724946695,4.4499507389162565,Amg,
416,2.386140724946695,4.07487684729064,Amg,
417,2.386140724946695,3.6488669950738917,Amg,
